index,Parameter Name,a3,BE(13LamC)(MeV),BE-11.88MeV
1657,J-33L-30K400ms_m0.8,42.33192443847656,11.880048010737013,4.801073701266034e-5
1658,J-33L-30K400ms_m0.85,43.32527160644531,11.88001457548934,1.457548933991859e-5
1659,J-33L-30K400ms_m0.9,44.29725646972656,11.880146589699436,0.0001465896994350402
1660,J-33L-30K400ms_m0.95,45.25321960449219,11.880305149365554,0.000305149365553703
1661,J-33L-30K400ms_m1.0,45.94367980957031,11.879934959752475,-6.504024752551629e-5
1662,J-33L-30K500ms_m0.6,29.652442932128906,11.879843236795239,-0.00015676320476210037
1663,J-33L-30K500ms_m0.65,31.04900360107422,11.880050653952111,5.065395211012458e-5
1664,J-33L-30K500ms_m0.7,32.39482879638672,11.88005251910836,5.2519108360016276e-5
1665,J-33L-30K500ms_m0.75,33.69525909423828,11.879989106031331,-1.089396866937875e-5
1666,J-33L-30K500ms_m0.8,34.956016540527344,11.879958660116358,-4.133988364252161e-5
1667,J-33L-30K500ms_m0.85,36.18244171142578,11.879979770308154,-2.0229691847006848e-5
1668,J-33L-30K500ms_m0.9,37.380638122558594,11.879937556784,-6.24432160005739e-5
1669,J-33L-30K500ms_m0.95,38.145103454589844,11.880078630595122,7.863059512125403e-5
1670,J-33L-30K500ms_m1.0,39.18479919433594,11.880099847891415,9.984789141448402e-5
1671,J-33L-20K100ms_m0.6,86.63009643554688,11.880244582507473,0.00024458250747194654
1672,J-33L-20K100ms_m0.65,86.56600952148438,11.880111877345684,0.00011187734568274266
1673,J-33L-20K100ms_m0.7,86.54159545898438,11.880006591332858,6.591332857297516e-6
1674,J-33L-20K100ms_m0.75,86.54769897460938,11.880030935455025,3.0935455024305725e-5
1675,J-33L-20K100ms_m0.8,86.57363891601562,11.880057839167335,5.783916733470562e-5
1676,J-33L-20K100ms_m0.85,87.32284545898438,11.880026854740919,2.685474091812523e-5
1677,J-33L-20K100ms_m0.9,87.40219116210938,11.880119898554483,0.00011989855448213405
1678,J-33L-20K100ms_m0.95,87.50289916992188,11.879835004931664,-0.00016499506833689281
