index,Parameter Name,J (MeV),L (MeV),K (MeV),m*/m,J-J_calc,L-L_calc,K-K_Calc
195,J-33L0K300ms_m0.6,-32.99999998955067,2.4261112230306026e-8,299.9999999500398,0.6000000000175344,7.105427357601002e-15,-3.073489551752573e-8,1.1156606660733814e-7
196,J-33L0K300ms_m0.65,-32.9999999891821,2.6342831915826537e-8,299.99999995539565,0.6500000000320421,-7.105427357601002e-15,-3.073790821872535e-8,9.19562239687366e-8
197,J-33L0K300ms_m0.7,-32.99999999995967,-2.734066129050916e-8,299.9999998490508,0.6999999999415328,-1.4210854715202004e-14,-3.0736984513168863e-8,1.2077367728124955e-7
198,J-33L0K300ms_m0.75,-32.99999998810611,3.2104253477882594e-8,299.9999999688266,0.75000000005238,-7.105427357601002e-15,-3.073273546760902e-8,1.1643760444712825e-7
199,J-33L0K300ms_m0.8,-32.99999999328156,6.382038009178359e-9,299.9999999181576,0.7999999999530085,-7.105427357601002e-15,-3.074175936035317e-8,1.0638882486091461e-7
200,J-33L0K300ms_m0.85,-33.000000000445425,-2.9300394999154378e-8,299.9999998474767,0.8499999999820376,-1.4210854715202004e-14,-3.074030985317222e-8,1.0589820931272698e-7
201,J-33L0K300ms_m0.9,-32.99999999935844,-2.3744064492348116e-8,299.9999998591974,0.9000000001179776,7.105427357601002e-15,-3.073495236094459e-8,1.2017682138321106e-7
202,J-33L0K300ms_m0.95,-33.000000003685614,-4.5271121962287e-8,299.99999981668736,0.9500000000296016,7.105427357601002e-15,-3.073959931043646e-8,1.0232548675048747e-7
203,J-33L0K300ms_m1.0,-33.000000001786134,-3.567561179806944e-8,299.9999998363678,1.0,-1.4210854715202004e-14,-3.073556342769734e-8,1.0358866120441235e-7
204,J-33L0K600ms_m0.6,-32.99999999326638,4.94331402478565e-8,600.0000001603861,0.5999999999845264,-7.105427357601002e-15,3.159115635753551e-9,-1.1474412531242706e-8
205,J-33L0K600ms_m0.65,-32.99999999208749,5.556614723900566e-8,600.0000001738449,0.6499999999749027,-7.105427357601002e-15,3.1604940886609256e-9,-6.50800302537391e-9
206,J-33L0K600ms_m0.7,-33.00000000708709,-1.922746406535225e-8,600.00000002528,0.6999999999864606,-7.105427357601002e-15,3.155697925194545e-9,-8.24638846097514e-9
207,J-33L0K600ms_m0.75,-33.000000008737516,-2.7302434091325267e-8,600.0000000100158,0.7499999999775961,1.4210854715202004e-14,3.1553355483993073e-9,-1.6143644643307198e-8
208,J-33L0K600ms_m0.8,-32.99999999870311,2.30246257615363e-8,600.0000001114454,0.7999999999530085,7.105427357601002e-15,3.165311568409379e-9,-2.173874236177653e-8
209,J-33L0K600ms_m0.85,-33.00000000586697,-1.2657864090215298e-8,600.0000000407645,0.8499999999820376,7.105427357601002e-15,3.153701300107059e-9,-1.025830442813458e-8
210,J-33L0K600ms_m0.9,-33.00000000051534,1.4221882338461e-8,600.0000000951319,0.8999999999323072,1.4210854715202004e-14,3.1595845939591527e-9,-1.4007468962518033e-8
211,J-33L0K600ms_m0.95,-33.00000000910718,-2.862843473394605e-8,600.0000000099751,0.9500000000296018,0.0,3.1556339763483265e-9,-1.8435230231261812e-8
212,J-33L0K600ms_m1.0,-33.00000000720769,-1.903305246742093e-8,600.0000000296556,1.0,0.0,3.1574103331877268e-9,-1.6148987924680114e-8
213,J-33L10K0ms_m0.6,-32.999999829283865,10.000000623045707,3.554108616299345e-7,0.6000000000670465,0.0,-7.117792222288699e-8,2.5339966214232845e-7
214,J-33L10K0ms_m0.65,-32.999999827252054,10.000000633443051,3.7739826552751765e-7,0.6500000000523799,0.0,-7.119358258478314e-8,2.4857970970515453e-7
215,J-33L10K0ms_m0.7,-32.99999987420665,10.000000398874818,-9.071604267774092e-8,0.6999999999864605,2.842170943040401e-14,-7.116845779364667e-8,2.1102019331920024e-7
216,J-33L10K0ms_m0.75,-32.999999752414794,10.00000100801094,1.1284426193469699e-6,0.7499999999879112,2.842170943040401e-14,-7.11841039446881e-8,2.1330905042304938e-7
217,J-33L10K0ms_m0.8,-32.9999998658227,10.000000441126758,-4.5510120116887265e-9,0.7999999999530086,-2.842170943040401e-14,-7.118478606571443e-8,2.197303814455154e-7
218,J-33L10K0ms_m0.85,-32.99999975346776,10.000001003038278,1.1199561456010088e-6,0.8500000001476511,0.0,-7.118516975879174e-8,2.298905243947046e-7
219,J-33L10K0ms_m0.9,-32.99999976579943,10.000000941501412,9.974898880216188e-7,0.9000000001179776,2.842170943040401e-14,-7.118065070699231e-8,2.373683223311217e-7
220,J-33L10K0ms_m0.95,-32.99999984086003,10.000000566307108,2.476457563460599e-7,0.9500000000296018,0.0,-7.119005829281377e-8,2.2523808063112938e-7
221,J-33L10K0ms_m1.0,-32.99999985664385,10.000000487485977,9.04929891021311e-8,1.0,2.842170943040401e-14,-7.118357814306364e-8,2.2688308831675386e-7
222,J-33L10K300ms_m0.6,-32.999999981145464,10.000000037780183,299.9999998660496,0.6000000000373393,0.0,-3.726620434463257e-8,1.4953911886550486e-7
223,J-33L10K300ms_m0.65,-32.999999978943066,10.000000049030746,299.9999998897433,0.6500000000136411,-1.4210854715202004e-14,-3.726786701463425e-8,1.367051822853682e-7
224,J-33L10K300ms_m0.7,-32.99999997370048,10.000000075447929,299.99999994360013,0.6999999999639966,0.0,-3.726923125668691e-8,1.5290891042241128e-7
225,J-33L10K300ms_m0.75,-32.99999997654504,10.000000061402375,299.99999991639504,0.7499999999879112,0.0,-3.726650277258159e-8,1.3961908962301095e-7
226,J-33L10K300ms_m0.8,-32.99999996616947,10.000000113435362,300.0000000212362,0.7999999999530085,-1.4210854715202004e-14,-3.726570696471754e-8,1.4296063000074355e-7
227,J-33L10K300ms_m0.85,-32.99999997759798,10.000000056429599,299.99999990790843,0.8500000001476511,0.0,-3.726874808762659e-8,1.4279675042416784e-7
228,J-33L10K300ms_m0.9,-32.99999997224634,10.00000008330926,299.9999999622758,0.9000000001179776,0.0,-3.725740782556386e-8,1.5685077414673287e-7
229,J-33L10K300ms_m0.95,-32.99999997657352,10.000000061782202,299.9999999197658,0.9500000000296016,0.0,-3.7266957519932475e-8,1.3398584997048602e-7
230,J-33L10K300ms_m1.0,-32.99999997467404,10.000000071377599,299.9999999394463,1.0,-1.4210854715202004e-14,-3.726495378941763e-8,1.386256371915806e-7
