index,Parameter Name,a3,BE(13LamC)(MeV),BE-11.88MeV,Etot_HYP(MeV),Etot_core(MeV)
86,J-33L-40K0ms_m1.0,71.201171875,11.880894600626974,0.0008946006269727746,-101.75906170280798,-89.87816710218101
87,J-33L-40K300ms_m0.6,37.1435546875,11.878564320669085,-0.0014356793309158178,-101.7567314228501,-89.87816710218101
88,J-33L-40K300ms_m0.65,38.2177734375,11.879763857889671,-0.0002361421103298511,-101.75793096007068,-89.87816710218101
89,J-33L-40K300ms_m0.7,39.2919921875,11.878627070609937,-0.0013729293900635042,-101.75679417279095,-89.87816710218101
90,J-33L-40K300ms_m0.75,40.3173828125,11.879120851693429,-0.0008791483065717642,-101.75728795387444,-89.87816710218101
91,J-33L-40K300ms_m0.8,41.2939453125,11.881553296712966,0.0015532967129647801,-101.75972039889398,-89.87816710218101
92,J-33L-40K300ms_m0.85,42.3193359375,11.878448518362802,-0.0015514816371986484,-101.75661562054381,-89.87816710218101
93,J-33L-40K300ms_m0.9,43.2470703125,11.881718943580623,0.0017189435806219677,-101.75988604576163,-89.87816710218101
94,J-33L-40K300ms_m0.95,44.2236328125,11.879897180149129,-0.00010281985087168266,-101.75806428233014,-89.87816710218101
95,J-33L-40K300ms_m1.0,45.1513671875,11.881129230582545,0.001129230582543883,-101.75929633276355,-89.87816710218101
96,J-33L-40K600ms_m0.6,14.62158203125,11.87934207628983,-0.0006579237101700386,-101.75750917847084,-89.87816710218101
97,J-33L-40K600ms_m0.65,16.50146484375,11.880623816184041,0.0006238161840403933,-101.75879091836505,-89.87816710218101
98,J-33L-40K600ms_m0.7,18.30810546875,11.88050562046837,0.0005056204683686616,-101.75867272264938,-89.87816710218101
99,J-33L-40K600ms_m0.75,20.04150390625,11.879982282566445,-1.7717433555830553e-5,-101.75814938474745,-89.87816710218101
100,J-33L-40K600ms_m0.8,21.70166015625,11.87998331335865,-1.6686641350460718e-5,-101.75815041553966,-89.87816710218101
101,J-33L-40K600ms_m0.85,23.31298828125,11.879087794456439,-0.0009122055435621945,-101.75725489663745,-89.87816710218101
102,J-33L-40K600ms_m0.9,24.8388671875,11.881455758493061,0.001455758493060344,-101.75962286067407,-89.87816710218101
103,J-33L-40K600ms_m0.95,26.3525390625,11.880980748020235,0.000980748020234401,-101.75914785020124,-89.87816710218101
104,J-33L-40K600ms_m1.0,27.8173828125,11.881731124586096,0.0017311245860955893,-101.7598982267671,-89.87816710218101
105,J-33L-30K0ms_m0.6,84.677734375,11.881214662378667,0.001214662378666631,-101.75938176455968,-89.87816710218101
106,J-33L-30K0ms_m0.65,84.677734375,11.879487692440534,-0.0005123075594664073,-101.75765479462154,-89.87816710218101
107,J-33L-30K0ms_m0.7,84.677734375,11.87981173774891,-0.00018826225109158656,-101.75797883992992,-89.87816710218101
108,J-33L-30K0ms_m0.75,84.677734375,11.881892502547188,0.0018925025471876467,-101.7600596047282,-89.87816710218101
109,J-33L-30K0ms_m0.8,84.775390625,11.879977241365054,-2.275863494638486e-5,-101.75814434354606,-89.87816710218101
110,J-33L-30K0ms_m0.85,84.873046875,11.879314739086908,-0.0006852609130927334,-101.75748184126792,-89.87816710218101
111,J-33L-30K0ms_m0.9,84.970703125,11.87980400999497,-0.0001959900050305663,-101.75797111217598,-89.87816710218101
112,J-33L-30K0ms_m0.95,85.068359375,11.881342058248478,0.0013420582484773291,-101.75950916042949,-89.87816710218101
113,J-33L-30K0ms_m1.0,85.263671875,11.878233749172779,-0.0017662508272220379,-101.75640085135379,-89.87816710218101
114,J-33L-30K300ms_m0.6,48.0322265625,11.881706165795421,0.001706165795420489,-101.75987326797643,-89.87816710218101
115,J-33L-30K300ms_m0.65,48.837890625,11.881170295920256,0.0011702959202555263,-101.75933739810127,-89.87816710218101
116,J-33L-30K300ms_m0.7,49.619140625,11.881494562110447,0.0014945621104462958,-101.75966166429146,-89.87816710218101
117,J-33L-30K300ms_m0.75,50.400390625,11.880969545424705,0.0009695454247040658,-101.75913664760571,-89.87816710218101
118,J-33L-30K300ms_m0.8,51.181640625,11.879628468656449,-0.0003715313435517231,-101.75779557083746,-89.87816710218101
119,J-33L-30K300ms_m0.85,51.962890625,11.877569763148955,-0.0024302368510458194,-101.75573686532996,-89.87816710218101
120,J-33L-30K300ms_m0.9,52.646484375,11.882235747825519,0.00223574782551772,-101.76040285000653,-89.87816710218101
121,J-33L-30K300ms_m0.95,53.427734375,11.879159411698268,-0.0008405883017328364,-101.75732651387928,-89.87816710218101
122,J-33L-30K300ms_m1.0,54.111328125,11.883242659651799,0.003242659651798263,-101.76140976183281,-89.87816710218101
123,J-33L-30K600ms_m0.6,22.72705078125,11.880628984860863,0.0006289848608620474,-101.75879608704187,-89.87816710218101
124,J-33L-30K600ms_m0.65,24.36279296875,11.879603540947897,-0.0003964590521032818,-101.75777064312891,-89.87816710218101
125,J-33L-30K600ms_m0.7,25.9130859375,11.8798248485341,-0.0001751514659016351,-101.75799195071511,-89.87816710218101
126,J-33L-30K600ms_m0.75,27.4267578125,11.877921831016451,-0.002078168983549844,-101.75608893319746,-89.87816710218101
127,J-33L-30K600ms_m0.8,28.8427734375,11.879783050442938,-0.000216949557062307,-101.75795015262395,-89.87816710218101
128,J-33L-30K600ms_m0.85,30.2099609375,11.881907216837135,0.0019072168371341292,-101.76007431901814,-89.87816710218101
129,J-33L-30K600ms_m0.9,31.5771484375,11.880568964470939,0.000568964470938127,-101.75873606665195,-89.87816710218101
130,J-33L-30K600ms_m0.95,32.8955078125,11.880556522306776,0.0005565223067751646,-101.75872362448779,-89.87816710218101
131,J-33L-30K600ms_m1.0,34.2138671875,11.878048971619634,-0.0019510283803665374,-101.75621607380064,-89.87816710218101
132,J-33L-20K0ms_m0.6,100.05859375,11.880855613056553,0.0008556130565526843,-101.75902271523756,-89.87816710218101
133,J-33L-20K0ms_m0.65,99.86328125,11.880951856234788,0.0009518562347867743,-101.7591189584158,-89.87816710218101
134,J-33L-20K0ms_m0.7,99.66796875,11.883067513466884,0.003067513466882943,-101.7612346156479,-89.87816710218101
135,J-33L-20K0ms_m0.75,99.66796875,11.877020929746578,-0.0029790702534224778,-101.75518803192759,-89.87816710218101
136,J-33L-20K0ms_m0.8,99.47265625,11.882380092528209,0.002380092528207811,-101.76054719470922,-89.87816710218101
137,J-33L-20K0ms_m0.85,99.47265625,11.87908008917941,-0.0009199108205901751,-101.75724719136042,-89.87816710218101
