index,Parameter Name,a3,BE(13LamC)(MeV),BE-11.88MeV
3149,J-28L-10K100ms_m0.7,33.854331970214844,11.880011768369442,1.1768369441611526e-5
3150,J-28L-10K100ms_m0.75,34.14081573486328,11.880004059112167,4.05911216638799e-6
3151,J-28L-10K100ms_m0.8,34.43645477294922,11.879995827233586,-4.172766415067031e-6
3152,J-28L-10K100ms_m0.85,34.737815856933594,11.880013680137381,1.3680137380234214e-5
3153,J-28L-10K100ms_m0.9,34.09770965576172,11.879995413399627,-4.586600374167915e-6
3154,J-28L-10K100ms_m0.95,34.357872009277344,11.879988716407581,-1.1283592419530919e-5
3155,J-28L-10K100ms_m1.0,34.61956024169922,11.879995870299041,-4.12970095986509e-6
3156,J-28L-10K200ms_m0.6,21.59770965576172,11.880012436518967,1.2436518966651988e-5
3157,J-28L-10K200ms_m0.65,22.123756408691406,11.879994868477539,-5.131522462065163e-6
3158,J-28L-10K200ms_m0.7,22.65094757080078,11.879989479025966,-1.052097403508867e-5
3159,J-28L-10K200ms_m0.75,23.17546844482422,11.879989614134459,-1.0385865541806538e-5
3160,J-28L-10K200ms_m0.8,22.87029266357422,11.87998668469298,-1.331530702053385e-5
3161,J-28L-10K200ms_m0.85,23.335304260253906,11.880008598767361,8.598767360368242e-6
3162,J-28L-10K200ms_m0.9,23.794593811035156,11.880001511835488,1.5118354870224948e-6
3163,J-28L-10K200ms_m0.95,24.24701690673828,11.880012872744558,1.287274455741283e-5
3164,J-28L-10K200ms_m1.0,24.692955017089844,11.880010107159421,1.0107159420513767e-5
3165,J-28L-10K400ms_m0.6,2.1895194053649902,11.880001042420403,1.042420402441735e-6
3166,J-28L-10K400ms_m0.65,2.5806570053100586,11.879999314124987,-6.858750136728986e-7
3167,J-28L-10K400ms_m0.7,3.561415672302246,11.87999606625192,-3.933748081053068e-6
3168,J-28L-10K400ms_m0.75,4.506030082702637,11.880001807784623,1.8077846224429095e-6
3169,J-28L-10K400ms_m0.8,5.416669845581055,11.880000514046202,5.140462011610225e-7
3170,J-28L-10K400ms_m0.85,6.295576095581055,11.879994750707127,-5.249292874154321e-6
3171,J-28L-10K400ms_m0.9,7.145013809204102,11.880003499774347,3.499774345883111e-6
3172,J-28L-10K400ms_m0.95,7.967462539672852,11.87999933594098,-6.640590211048902e-7
3173,J-28L-10K400ms_m1.0,8.765020370483398,11.87999844485833,-1.5551416705505972e-6
3174,J-28L-10K500ms_m0.6,-6.644353866577148,11.880003998435512,3.998435511576304e-6
3175,J-28L-10K500ms_m0.65,-5.364522933959961,11.88000295109235,2.9510923500453146e-6
3176,J-28L-10K500ms_m0.7,-4.143223762512207,11.879997404268735,-2.5957312654867337e-6
3177,J-28L-10K500ms_m0.75,-2.976069450378418,11.880003174447367,3.174447366305344e-6
3178,J-28L-10K500ms_m0.8,-1.8584704399108887,11.880001045950763,1.0459507624460684e-6
3179,J-28L-10K500ms_m0.85,-0.7861173152923584,11.880000055804103,5.58041026721412e-8
3180,J-28L-10K500ms_m0.9,0.24479717016220093,11.880004797431639,4.79743163772639e-6
3181,J-28L-10K500ms_m0.95,2.032783031463623,11.87999960687793,-3.9312207000818944e-7
3182,J-28L-10K500ms_m1.0,3.054966926574707,11.879997364218099,-2.635781902071699e-6
3183,J-28L0K100ms_m0.6,48.99467468261719,11.880009899878232,9.899878230967829e-6
3184,J-28L0K100ms_m0.65,48.99925231933594,11.879994253172413,-5.746827588026804e-6
3185,J-28L0K100ms_m0.7,49.03968811035156,11.879976020050293,-2.397994970770867e-5
3186,J-28L0K100ms_m0.75,49.10606384277344,11.879996722627283,-3.277372718102356e-6
3187,J-28L0K100ms_m0.8,49.19303894042969,11.880006086253232,6.08625323117451e-6
3188,J-28L0K100ms_m0.85,49.29603576660156,11.880004365858426,4.365858425003921e-6
3189,J-28L0K100ms_m0.9,49.41123962402344,11.880027830578882,2.783057888144924e-5
3190,J-28L0K100ms_m0.95,49.53788757324219,11.87998336377791,-1.6636222090582464e-5
3191,J-28L0K100ms_m1.0,48.58116149902344,11.879991996688219,-8.003311782189826e-6
3192,J-28L0K200ms_m0.6,35.34740447998047,11.880010451821832,1.0451821831125585e-5
3193,J-28L0K200ms_m0.65,35.606040954589844,11.880009673953822,9.673953821121017e-6
3194,J-28L0K200ms_m0.7,35.88336944580078,11.879989464099609,-1.0535900392127928e-5
3195,J-28L0K200ms_m0.75,36.172142028808594,11.879995822829244,-4.177170756847204e-6
3196,J-28L0K200ms_m0.8,36.468544006347656,11.880007653471537,7.6534715365284e-6
3197,J-28L0K200ms_m0.85,36.76990509033203,11.880011945303963,1.1945303961979903e-5
3198,J-28L0K200ms_m0.9,37.07469940185547,11.87998729371003,-1.2706289970410012e-5
3199,J-28L0K200ms_m0.95,36.41551971435547,11.879997460221702,-2.5397782987823803e-6
3200,J-28L0K200ms_m1.0,36.67339324951172,11.879987721048948,-1.2278951052380194e-5
3201,J-28L0K400ms_m0.6,13.131275177001953,11.880002959921825,2.959921824086109e-6
3202,J-28L0K400ms_m0.65,13.932743072509766,11.879994216899107,-5.78310089416334e-6
3203,J-28L0K400ms_m0.7,14.71323013305664,11.880003034909109,3.034909108023953e-6
3204,J-28L0K400ms_m0.75,14.732494354248047,11.87999783893315,-2.161066850803195e-6
3205,J-28L0K400ms_m0.8,15.421810150146484,11.880003878692406,3.878692405479001e-6
3206,J-28L0K400ms_m0.85,16.091670989990234,11.879995493498313,-4.506501687373543e-6
3207,J-28L0K400ms_m0.9,16.74245834350586,11.880002772544756,2.772544755558215e-6
3208,J-28L0K400ms_m0.95,17.37569808959961,11.879999637968197,-3.6203180364680065e-7
3209,J-28L0K400ms_m1.0,17.99234390258789,11.879995101944402,-4.898055598445694e-6
3210,J-28L0K500ms_m0.6,3.8857603073120117,11.880000755548423,7.555484220489461e-7
3211,J-28L0K500ms_m0.65,4.307999610900879,11.87999746688071,-2.5331192912148026e-6
3212,J-28L0K500ms_m0.7,5.284967422485352,11.87999427558475,-5.724415251151527e-6
3213,J-28L0K500ms_m0.75,6.224050521850586,11.880003061513818,3.0615138175704715e-6
3214,J-28L0K500ms_m0.8,7.127847671508789,11.879995171984802,-4.82801519829934e-6
3215,J-28L0K500ms_m0.85,7.998552322387695,11.880002226170575,2.226170574104458e-6
3216,J-28L0K500ms_m0.9,8.838930130004883,11.880000922411412,9.224114112527104e-7
3217,J-28L0K500ms_m0.95,9.651317596435547,11.879997639204788,-2.3607952126525333e-6
3218,J-28L0K500ms_m1.0,10.437908172607422,11.879993958149711,-6.041850289406625e-6
3219,J-28L10K100ms_m0.6,67.22206115722656,11.880005666005545,5.666005543858432e-6
3220,J-28L10K100ms_m0.65,67.02522277832031,11.880001527098628,1.527098627107648e-6
3221,J-28L10K100ms_m0.7,66.87644958496094,11.880003166942487,3.1669424860325535e-6
3222,J-28L10K100ms_m0.75,66.76506042480469,11.879997396327468,-2.6036725326861188e-6
