index,Parameter Name,paper,a1,a2,a3,a4,a5,a6,a7,a8,gamma1,gamma2,gamma3,gamma4,u0,u1,u2,u3,u31,u32,J (MeV),L (MeV),K (MeV),m*/m
22,J-33L-50K400ms_m0.75,20221111,124.99999999999982,36.35472732265607,0.0,-1784.4527571539363,2031.5372885302559,0,0,0,0.3333333333333333,0.6666666666666666,0,0,124.99999999999982,36.35472732265607,109.06418196796821,0,-4758.54068574383,5417.432769414016,-33,-50,400,0.75
23,J-33L-50K400ms_m0.8,20221111,125.00000000000036,27.266045491992056,0.0,-1784.4527571539377,2064.4158509537097,0,0,0,0.3333333333333333,0.6666666666666666,0,0,125.00000000000036,27.266045491992056,81.79813647597616,0,-4758.540685743834,5505.1089358765585,-33,-50,400,0.8
24,J-33L-50K400ms_m0.85,20221111,124.99999999999982,19.246620347288513,0.0,-1784.4527571539363,2093.426347209697,0,0,0,0.3333333333333333,0.6666666666666666,0,0,124.99999999999982,19.246620347288513,57.73986104186554,0,-4758.54068574383,5582.470259225858,-33,-50,400,0.85
25,J-33L-50K400ms_m0.9,20221111,124.99999999999982,12.118242440885364,0.0,-1784.452757153937,2119.2134549927964,0,0,0,0.3333333333333333,0.6666666666666666,0,0,124.99999999999982,12.118242440885364,36.35472732265609,0,-4758.540685743832,5651.23587998079,-33,-50,400,0.9
26,J-33L-50K400ms_m0.95,20221111,125.00000000000017,5.740220103577268,0.0,-1784.4527571539377,2142.2861303776763,0,0,0,0.3333333333333333,0.6666666666666666,0,0,125.00000000000017,5.740220103577268,17.220660310731805,0,-4758.540685743834,5712.763014340469,-33,-50,400,0.95
27,J-33L-50K400ms_m1.0,20221111,125.0,0.0,0.0,-1784.452757153937,2163.0515382240665,0,0,0,0.3333333333333333,0.6666666666666666,0,0,125.0,0.0,0.0,0,-4758.540685743832,5768.137435264177,-33,-50,400,1.0
28,J-33L-50K500ms_m0.6,20221111,437.50000000000034,72.70945464531216,0.0,-2935.712600479058,2960.342420318833,0,0,0,0.3333333333333333,0.6666666666666666,0,0,437.50000000000034,72.70945464531216,218.12836393593648,0,-7828.566934610821,7894.246454183554,-33,-50,500,0.6
29,J-33L-50K500ms_m0.65,20221111,437.49999999999966,58.72686721352134,0.0,-2935.7126004790566,3010.9248240472207,0,0,0,0.3333333333333333,0.6666666666666666,0,0,437.49999999999966,58.72686721352134,176.18060164056402,0,-7828.566934610817,8029.1328641259215,-33,-50,500,0.65
30,J-33L-50K500ms_m0.7,20221111,437.5,46.741792271986384,0.0,-2935.712600479058,3054.2811701001256,0,0,0,0.3333333333333333,0.6666666666666666,0,0,437.5,46.741792271986384,140.22537681595915,0,-7828.566934610821,8144.749786933668,-33,-50,500,0.7
31,J-33L-50K500ms_m0.75,20221111,437.49999999999983,36.35472732265607,0.0,-2935.712600479057,3091.8566700126416,0,0,0,0.3333333333333333,0.6666666666666666,0,0,437.49999999999983,36.35472732265607,109.06418196796821,0,-7828.566934610819,8244.951120033711,-33,-50,500,0.75
32,J-33L-50K500ms_m0.8,20221111,437.50000000000034,27.266045491992056,0.0,-2935.7126004790584,3124.7352324360954,0,0,0,0.3333333333333333,0.6666666666666666,0,0,437.50000000000034,27.266045491992056,81.79813647597616,0,-7828.5669346108225,8332.627286496254,-33,-50,500,0.8
33,J-33L-50K500ms_m0.85,20221111,437.49999999999983,19.246620347288513,0.0,-2935.712600479057,3153.745728692082,0,0,0,0.3333333333333333,0.6666666666666666,0,0,437.49999999999983,19.246620347288513,57.73986104186554,0,-7828.566934610819,8409.988609845552,-33,-50,500,0.85
34,J-33L-50K500ms_m0.9,20221111,437.49999999999983,12.118242440885364,0.0,-2935.712600479058,3179.5328364751817,0,0,0,0.3333333333333333,0.6666666666666666,0,0,437.49999999999983,12.118242440885364,36.35472732265609,0,-7828.566934610821,8478.754230600483,-33,-50,500,0.9
35,J-33L-50K500ms_m0.95,20221111,437.50000000000017,5.740220103577268,0.0,-2935.7126004790584,3202.6055118600616,0,0,0,0.3333333333333333,0.6666666666666666,0,0,437.50000000000017,5.740220103577268,17.220660310731805,0,-7828.5669346108225,8540.281364960163,-33,-50,500,0.95
36,J-33L-50K500ms_m1.0,20221111,437.5,0.0,0.0,-2935.712600479058,3223.370919706452,0,0,0,0.3333333333333333,0.6666666666666666,0,0,437.5,0.0,0.0,0,-7828.566934610821,8595.655785883871,-33,-50,500,1.0
37,J-33L-40K100ms_m0.6,20221111,-999.9999999999997,72.70945464531216,0.0,2244.9566944839858,-1705.0628582036638,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-999.9999999999997,72.70945464531216,218.12836393593648,0,5986.551185290628,-4546.834288543103,-33,-40,100,0.6
